epoch,acc,dice_coef,iou,loss,lr,precision,recall,val_acc,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.8365511298179626,0.48454830050468445,0.32290539145469666,0.5154516696929932,1e-04,0.5121431946754456,0.8471924066543579,0.13582153618335724,0.4238262176513672,0.26943930983543396,0.576173722743988,0.9681886434555054,0.30926838517189026
1,0.8299445509910583,0.6169325709342957,0.44783562421798706,0.38306745886802673,1e-04,0.7496238350868225,0.9306595921516418,0.2272103726863861,0.5505287647247314,0.38038673996925354,0.44947129487991333,0.960480272769928,0.6719169020652771
2,0.8705710768699646,0.6501299142837524,0.48458558320999146,0.3498700261116028,1e-04,0.8191856145858765,0.9357845187187195,0.9244952201843262,0.585027277469635,0.4142301380634308,0.414972722530365,0.9754002690315247,0.6585706472396851
3,0.8566124439239502,0.6695280075073242,0.5063862800598145,0.33047202229499817,1e-04,0.8581979870796204,0.9411473274230957,0.9836195111274719,0.6313547492027283,0.4631456136703491,0.36864522099494934,0.9321614503860474,0.8051192164421082
4,0.8282044529914856,0.6805810928344727,0.5192379951477051,0.3194188177585602,1e-04,0.8732993006706238,0.9381776452064514,0.9397115111351013,0.6468920111656189,0.4803536832332611,0.3531079888343811,0.8732703924179077,0.8666828274726868
5,0.7861438393592834,0.6963244080543518,0.5374221801757812,0.30367550253868103,1e-04,0.8899611234664917,0.9444174766540527,0.9123781323432922,0.647004246711731,0.4788639545440674,0.35299578309059143,0.9622862339019775,0.7745299935340881
6,0.7435847520828247,0.7094075083732605,0.5524629354476929,0.2905925214290619,1e-04,0.903009831905365,0.9422247409820557,0.9874817132949829,0.6769124865531921,0.5137391090393066,0.32308754324913025,0.9294512271881104,0.8550601601600647
7,0.715991199016571,0.712969183921814,0.5586462020874023,0.28703081607818604,1e-04,0.9037259817123413,0.939835786819458,0.9979003667831421,0.6820392608642578,0.5191376805305481,0.3179607689380646,0.947819709777832,0.8273113965988159
8,0.6834231615066528,0.7291263341903687,0.575644850730896,0.2708737850189209,1e-04,0.9105654954910278,0.939940869808197,0.9894063472747803,0.6959220767021179,0.5341521501541138,0.30407798290252686,0.9416351914405823,0.7949342131614685
9,0.6662426590919495,0.7354316115379333,0.5840386748313904,0.2645683288574219,1e-04,0.9169473052024841,0.935116708278656,0.9805241227149963,0.6991357803344727,0.538521945476532,0.30086424946784973,0.8396448493003845,0.9271607995033264
